"matchid_playerid","playerid","matchid","matchDate","matchSetting1Label","matchSetting3Label","competitionLabel","competition","timeUncertaintyLabel","timeUncertainty","supportLabel","support","nRound","nConnected","settingsNum","date.time","competitive.level","replay","port","testID","consumableKey","votationType","organizationalStructure","toleranceLabel","tolerance","Q1_1","Q2_1","Q3_1","Q4_1","Q5_1","Q6_1","Q7_1","Q8_1","Q9_1","Q10_1","Q11_1","Q12_1","Q13_1","Q14_1","Q15_1","Q16_1","Q17_1","Q18_1","ToA_Calculated","Q1_2","Q2_2","Q3_2","Q4_2","Q5_2","Q6_2","Q7_2","Q8_2","Q9_2","Q10_2"
"10004-18d91ff9-7859-4fc4-98fa-d269d846440e","18d91ff9-7859-4fc4-98fa-d269d846440e",10004,2020-02-29,"6","HighToleranceHighTransformational","Strong",3,"False",0,"LowStatus_HighLegitimacy",1,13,7,94,"2020-02-29 01:58:27",1,"False",7466,522994,"prod_high_1_firsttime",NA,"Hierarchical","Ambiguity High",1,1,1,4,2,1,3,1,2,2,3,3,3,24,0,0,1,0,0,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10004-18f55cfd-0ac0-4689-98b5-339983a03a4e","18f55cfd-0ac0-4689-98b5-339983a03a4e",10004,2020-02-29,"6","HighToleranceHighTransformational","Strong",3,"False",0,"LowStatus_HighLegitimacy",1,13,7,94,"2020-02-29 01:58:27",1,"False",7466,522994,"prod_high_1_firsttime",NA,"Hierarchical","Ambiguity High",1,2,1,2,0,1,2,1,0,3,2,0,1,21,2,0,1,1,0,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10004-39918e48-d300-4777-8340-7aada7d72ed9","39918e48-d300-4777-8340-7aada7d72ed9",10004,2020-02-29,"6","HighToleranceHighTransformational","Strong",3,"False",0,"LowStatus_HighLegitimacy",1,13,7,94,"2020-02-29 01:58:27",1,"False",7466,522994,"prod_high_1_firsttime",NA,"Hierarchical","Ambiguity High",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10004-4a29c6bb-f7f0-454c-b9d3-aa542d4ea6fd","4a29c6bb-f7f0-454c-b9d3-aa542d4ea6fd",10004,2020-02-29,"6","HighToleranceHighTransformational","Strong",3,"False",0,"LowStatus_HighLegitimacy",1,13,7,94,"2020-02-29 01:58:27",1,"False",7466,522994,"prod_high_1_firsttime",NA,"Hierarchical","Ambiguity High",1,0,1,2,3,4,3,2,1,0,1,2,3,20,1,2,0,1,1,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10004-579ca189-0784-4ffc-baf8-0f60710b10e2","579ca189-0784-4ffc-baf8-0f60710b10e2",10004,2020-02-29,"6","HighToleranceHighTransformational","Strong",3,"False",0,"LowStatus_HighLegitimacy",1,13,7,94,"2020-02-29 01:58:27",1,"False",7466,522994,"prod_high_1_firsttime",NA,"Hierarchical","Ambiguity High",1,1,0,1,2,1,1,2,0,1,1,2,0,26,0,4,1,1,0,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10004-631af95d-635d-430c-992d-0b6c0ade4977","631af95d-635d-430c-992d-0b6c0ade4977",10004,2020-02-29,"6","HighToleranceHighTransformational","Strong",3,"False",0,"LowStatus_HighLegitimacy",1,13,7,94,"2020-02-29 01:58:27",1,"False",7466,522994,"prod_high_1_firsttime",NA,"Hierarchical","Ambiguity High",1,2,1,0,2,1,3,1,0,2,1,0,2,21,0,0,1,1,1,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10004-e85ad2bb-095e-4665-9ca1-0234596335d0","e85ad2bb-095e-4665-9ca1-0234596335d0",10004,2020-02-29,"6","HighToleranceHighTransformational","Strong",3,"False",0,"LowStatus_HighLegitimacy",1,13,7,94,"2020-02-29 01:58:27",1,"False",7466,522994,"prod_high_1_firsttime",NA,"Hierarchical","Ambiguity High",1,0,2,2,2,2,2,2,2,2,2,2,2,20,0,0,1,1,1,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10014-3a330a51-4027-4735-bb29-f5d1e6187131","3a330a51-4027-4735-bb29-f5d1e6187131",10014,2020-02-28,"6","HighToleranceHighTransformational","Strong",3,"False",0,"LowStatus_HighLegitimacy",1,13,7,96,"2020-02-28 13:41:47",1,"False",7475,522769,"prod_high_1_firsttime",NA,"Network","Ambiguity High",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10014-7a1bdc06-178d-4f31-980c-b1c3f09e5501","7a1bdc06-178d-4f31-980c-b1c3f09e5501",10014,2020-02-28,"6","HighToleranceHighTransformational","Strong",3,"False",0,"LowStatus_HighLegitimacy",1,13,7,96,"2020-02-28 13:41:47",1,"False",7475,522769,"prod_high_1_firsttime",NA,"Network","Ambiguity High",1,2,2,2,2,2,2,2,2,2,2,2,2,22,1,5,0,0,0,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10014-8613d3ec-5774-47ed-8ef3-6129af7458b3","8613d3ec-5774-47ed-8ef3-6129af7458b3",10014,2020-02-28,"6","HighToleranceHighTransformational","Strong",3,"False",0,"LowStatus_HighLegitimacy",1,13,7,96,"2020-02-28 13:41:47",1,"False",7475,522769,"prod_high_1_firsttime",NA,"Network","Ambiguity High",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10014-9b03ea7f-ef4c-4e98-8846-8f1a621e4f1a","9b03ea7f-ef4c-4e98-8846-8f1a621e4f1a",10014,2020-02-28,"6","HighToleranceHighTransformational","Strong",3,"False",0,"LowStatus_HighLegitimacy",1,13,7,96,"2020-02-28 13:41:47",1,"False",7475,522769,"prod_high_1_firsttime",NA,"Network","Ambiguity High",1,2,2,2,2,2,2,2,2,2,2,2,2,22,0,5,0,0,0,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10014-b52c4784-966d-469a-ac9d-964cd405711b","b52c4784-966d-469a-ac9d-964cd405711b",10014,2020-02-28,"6","HighToleranceHighTransformational","Strong",3,"False",0,"LowStatus_HighLegitimacy",1,13,7,96,"2020-02-28 13:41:47",1,"False",7475,522769,"prod_high_1_firsttime",NA,"Network","Ambiguity High",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10014-c3116d2f-7036-4d39-95df-3951fb6642af","c3116d2f-7036-4d39-95df-3951fb6642af",10014,2020-02-28,"6","HighToleranceHighTransformational","Strong",3,"False",0,"LowStatus_HighLegitimacy",1,13,7,96,"2020-02-28 13:41:47",1,"False",7475,522769,"prod_high_1_firsttime",NA,"Network","Ambiguity High",1,4,4,4,3,4,3,4,4,4,3,2,2,33,0,4,1,1,0,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10014-ce553267-7d57-459e-8326-f1289cd26613","ce553267-7d57-459e-8326-f1289cd26613",10014,2020-02-28,"6","HighToleranceHighTransformational","Strong",3,"False",0,"LowStatus_HighLegitimacy",1,13,7,96,"2020-02-28 13:41:47",1,"False",7475,522769,"prod_high_1_firsttime",NA,"Network","Ambiguity High",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10016-0c838cf1-fdd7-46d5-892f-d4a3a3ee3b0e","0c838cf1-fdd7-46d5-892f-d4a3a3ee3b0e",10016,2020-02-28,"6","HighToleranceHighTransformational","Strong",3,"False",0,"LowStatus_HighLegitimacy",1,1,7,96,"2020-02-27 20:30:53",1,"False",7476,522560,"prod_high_1_firsttime",NA,"Network","Ambiguity High",1,2,4,4,3,3,4,4,4,1,3,2,4,24,0,2,0,0,0,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10016-23ed0f46-08fe-41b8-ab04-5beeddfe7961","23ed0f46-08fe-41b8-ab04-5beeddfe7961",10016,2020-02-28,"6","HighToleranceHighTransformational","Strong",3,"False",0,"LowStatus_HighLegitimacy",1,1,7,96,"2020-02-27 20:30:53",1,"False",7476,522560,"prod_high_1_firsttime",NA,"Network","Ambiguity High",1,3,2,2,2,2,2,2,2,2,2,2,2,20,0,4,1,0,1,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10016-87f74575-68c0-4f75-8797-9b9ae62321ed","87f74575-68c0-4f75-8797-9b9ae62321ed",10016,2020-02-28,"6","HighToleranceHighTransformational","Strong",3,"False",0,"LowStatus_HighLegitimacy",1,1,7,96,"2020-02-27 20:30:53",1,"False",7476,522560,"prod_high_1_firsttime",NA,"Network","Ambiguity High",1,2,3,4,3,0,4,2,4,3,0,0,3,49,1,4,1,1,1,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10016-aa674e34-c4a5-449e-93c6-3c2e3e508dc9","aa674e34-c4a5-449e-93c6-3c2e3e508dc9",10016,2020-02-28,"6","HighToleranceHighTransformational","Strong",3,"False",0,"LowStatus_HighLegitimacy",1,1,7,96,"2020-02-27 20:30:53",1,"False",7476,522560,"prod_high_1_firsttime",NA,"Network","Ambiguity High",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10016-af766181-a014-4068-8141-cc08aeb9aed7","af766181-a014-4068-8141-cc08aeb9aed7",10016,2020-02-28,"6","HighToleranceHighTransformational","Strong",3,"False",0,"LowStatus_HighLegitimacy",1,1,7,96,"2020-02-27 20:30:53",1,"False",7476,522560,"prod_high_1_firsttime",NA,"Network","Ambiguity High",1,0,4,4,2,3,3,3,4,4,4,3,1,31,0,4,0,1,1,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10016-b07285af-d177-42b4-af46-f5e68aad4e47","b07285af-d177-42b4-af46-f5e68aad4e47",10016,2020-02-28,"6","HighToleranceHighTransformational","Strong",3,"False",0,"LowStatus_HighLegitimacy",1,1,7,96,"2020-02-27 20:30:53",1,"False",7476,522560,"prod_high_1_firsttime",NA,"Network","Ambiguity High",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10016-ced00e38-bcb6-4850-8779-e248fa955696","ced00e38-bcb6-4850-8779-e248fa955696",10016,2020-02-28,"6","HighToleranceHighTransformational","Strong",3,"False",0,"LowStatus_HighLegitimacy",1,1,7,96,"2020-02-27 20:30:53",1,"False",7476,522560,"prod_high_1_firsttime",NA,"Network","Ambiguity High",1,2,1,4,2,3,2,4,4,4,2,4,3,29,0,5,1,0,1,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10017-23ed0f46-08fe-41b8-ab04-5beeddfe7961","23ed0f46-08fe-41b8-ab04-5beeddfe7961",10017,2020-02-27,"6","HighToleranceHighTransformational","Weak",1,"True",1,"HighStatus_HighLegitimacy",0,13,7,13,"2020-02-27 09:28:59",1,"False",7062,522281,"prod_low_1_firsttime",NA,"Hierarchical","Ambiguity Low",0,3,2,2,2,2,2,2,2,2,2,2,2,20,0,4,1,0,1,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10017-3bbb1d16-ba50-4f7b-8790-58b6b1f19048","3bbb1d16-ba50-4f7b-8790-58b6b1f19048",10017,2020-02-27,"6","HighToleranceHighTransformational","Weak",1,"True",1,"HighStatus_HighLegitimacy",0,13,7,13,"2020-02-27 09:28:59",1,"False",7062,522281,"prod_low_1_firsttime",NA,"Hierarchical","Ambiguity Low",0,0,0,2,1,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10017-62e2bf12-69f4-4331-a8d7-eb468eae0cbd","62e2bf12-69f4-4331-a8d7-eb468eae0cbd",10017,2020-02-27,"6","HighToleranceHighTransformational","Weak",1,"True",1,"HighStatus_HighLegitimacy",0,13,7,13,"2020-02-27 09:28:59",1,"False",7062,522281,"prod_low_1_firsttime",NA,"Hierarchical","Ambiguity Low",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10017-b0231a13-c223-41fd-a489-615aa38de7e5","b0231a13-c223-41fd-a489-615aa38de7e5",10017,2020-02-27,"6","HighToleranceHighTransformational","Weak",1,"True",1,"HighStatus_HighLegitimacy",0,13,7,13,"2020-02-27 09:28:59",1,"False",7062,522281,"prod_low_1_firsttime",NA,"Hierarchical","Ambiguity Low",0,4,2,2,2,3,4,3,2,2,2,3,3,18,1,3,0,0,0,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10017-c9a55c9d-e91a-40f8-9816-e0d57bf12245","c9a55c9d-e91a-40f8-9816-e0d57bf12245",10017,2020-02-27,"6","HighToleranceHighTransformational","Weak",1,"True",1,"HighStatus_HighLegitimacy",0,13,7,13,"2020-02-27 09:28:59",1,"False",7062,522281,"prod_low_1_firsttime",NA,"Hierarchical","Ambiguity Low",0,4,4,2,3,3,3,3,3,3,3,3,3,NA,1,1,1,NA,NA,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10017-e1e21c76-03c5-4d83-8e84-3cbf90c2854a","e1e21c76-03c5-4d83-8e84-3cbf90c2854a",10017,2020-02-27,"6","HighToleranceHighTransformational","Weak",1,"True",1,"HighStatus_HighLegitimacy",0,13,7,13,"2020-02-27 09:28:59",1,"False",7062,522281,"prod_low_1_firsttime",NA,"Hierarchical","Ambiguity Low",0,0,1,2,4,2,3,NA,2,2,2,3,3,22,1,4,0,0,0,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10017-fd38be13-bb6e-4cc6-bfc3-d47cdb110a8e","fd38be13-bb6e-4cc6-bfc3-d47cdb110a8e",10017,2020-02-27,"6","HighToleranceHighTransformational","Weak",1,"True",1,"HighStatus_HighLegitimacy",0,13,7,13,"2020-02-27 09:28:59",1,"False",7062,522281,"prod_low_1_firsttime",NA,"Hierarchical","Ambiguity Low",0,2,2,2,3,2,2,3,3,3,3,2,3,18,0,2,0,1,0,34,NA,1,1,1,2,1,1,1,1,3
"10018-0403264b-4cad-44bb-9009-9e9ef71880b2","0403264b-4cad-44bb-9009-9e9ef71880b2",10018,2020-02-28,"6","HighToleranceHighTransformational","Weak",1,"True",1,"HighStatus_HighLegitimacy",0,13,7,13,"2020-02-27 22:28:32",1,"False",7063,522602,"prod_low_1_firsttime",NA,"Hierarchical","Ambiguity Low",0,4,4,4,4,4,4,3,4,4,4,3,3,NA,1,1,1,1,1,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10018-14f2969a-7f8f-4ca0-bcda-25f10bca7711","14f2969a-7f8f-4ca0-bcda-25f10bca7711",10018,2020-02-28,"6","HighToleranceHighTransformational","Weak",1,"True",1,"HighStatus_HighLegitimacy",0,13,7,13,"2020-02-27 22:28:32",1,"False",7063,522602,"prod_low_1_firsttime",NA,"Hierarchical","Ambiguity Low",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10018-388f6337-b260-4bef-aeb6-804ce1b06bc6","388f6337-b260-4bef-aeb6-804ce1b06bc6",10018,2020-02-28,"6","HighToleranceHighTransformational","Weak",1,"True",1,"HighStatus_HighLegitimacy",0,13,7,13,"2020-02-27 22:28:32",1,"False",7063,522602,"prod_low_1_firsttime",NA,"Hierarchical","Ambiguity Low",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10018-4402b4ee-584b-4690-890b-c0de01888ddc","4402b4ee-584b-4690-890b-c0de01888ddc",10018,2020-02-28,"6","HighToleranceHighTransformational","Weak",1,"True",1,"HighStatus_HighLegitimacy",0,13,7,13,"2020-02-27 22:28:32",1,"False",7063,522602,"prod_low_1_firsttime",NA,"Hierarchical","Ambiguity Low",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10018-af3a820c-a68b-4fe1-b587-650ead350d38","af3a820c-a68b-4fe1-b587-650ead350d38",10018,2020-02-28,"6","HighToleranceHighTransformational","Weak",1,"True",1,"HighStatus_HighLegitimacy",0,13,7,13,"2020-02-27 22:28:32",1,"False",7063,522602,"prod_low_1_firsttime",NA,"Hierarchical","Ambiguity Low",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10018-bda45ac4-1125-4b6c-b6f6-559c7935435b","bda45ac4-1125-4b6c-b6f6-559c7935435b",10018,2020-02-28,"6","HighToleranceHighTransformational","Weak",1,"True",1,"HighStatus_HighLegitimacy",0,13,7,13,"2020-02-27 22:28:32",1,"False",7063,522602,"prod_low_1_firsttime",NA,"Hierarchical","Ambiguity Low",0,3,2,3,3,3,2,4,4,3,3,3,2,25,1,1,1,0,1,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10018-c68fc952-b2d8-425b-81ea-4bff55720564","c68fc952-b2d8-425b-81ea-4bff55720564",10018,2020-02-28,"6","HighToleranceHighTransformational","Weak",1,"True",1,"HighStatus_HighLegitimacy",0,13,7,13,"2020-02-27 22:28:32",1,"False",7063,522602,"prod_low_1_firsttime",NA,"Hierarchical","Ambiguity Low",0,4,3,3,3,4,2,3,3,3,3,2,2,26,1,4,0,0,0,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10020-0403264b-4cad-44bb-9009-9e9ef71880b2","0403264b-4cad-44bb-9009-9e9ef71880b2",10020,2020-02-28,"6","HighToleranceHighTransformational","Weak",1,"True",1,"HighStatus_HighLegitimacy",0,13,7,14,"2020-02-28 15:22:35",1,"False",7069,522802,"prod_low_1_firsttime",NA,"Cellular","Ambiguity Low",0,4,4,4,4,4,4,3,4,4,4,3,3,NA,1,1,1,1,1,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10020-2f2fe1e4-7ff4-4079-bcdb-cce04af649bf","2f2fe1e4-7ff4-4079-bcdb-cce04af649bf",10020,2020-02-28,"6","HighToleranceHighTransformational","Weak",1,"True",1,"HighStatus_HighLegitimacy",0,13,7,14,"2020-02-28 15:22:35",1,"False",7069,522802,"prod_low_1_firsttime",NA,"Cellular","Ambiguity Low",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10020-5de0aefd-2e0b-4777-ae43-935760f6a11e","5de0aefd-2e0b-4777-ae43-935760f6a11e",10020,2020-02-28,"6","HighToleranceHighTransformational","Weak",1,"True",1,"HighStatus_HighLegitimacy",0,13,7,14,"2020-02-28 15:22:35",1,"False",7069,522802,"prod_low_1_firsttime",NA,"Cellular","Ambiguity Low",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10020-62234099-8adf-4eb9-8056-733e4a27fcbf","62234099-8adf-4eb9-8056-733e4a27fcbf",10020,2020-02-28,"6","HighToleranceHighTransformational","Weak",1,"True",1,"HighStatus_HighLegitimacy",0,13,7,14,"2020-02-28 15:22:35",1,"False",7069,522802,"prod_low_1_firsttime",NA,"Cellular","Ambiguity Low",0,3,3,3,3,3,3,3,2,4,2,3,4,NA,1,4,1,1,1,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10020-7d848b91-cfd9-4358-9b93-6ce71bd6d75c","7d848b91-cfd9-4358-9b93-6ce71bd6d75c",10020,2020-02-28,"6","HighToleranceHighTransformational","Weak",1,"True",1,"HighStatus_HighLegitimacy",0,13,7,14,"2020-02-28 15:22:35",1,"False",7069,522802,"prod_low_1_firsttime",NA,"Cellular","Ambiguity Low",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10020-807c0b2e-8e2d-44ca-b8cd-8abc7cc87bc5","807c0b2e-8e2d-44ca-b8cd-8abc7cc87bc5",10020,2020-02-28,"6","HighToleranceHighTransformational","Weak",1,"True",1,"HighStatus_HighLegitimacy",0,13,7,14,"2020-02-28 15:22:35",1,"False",7069,522802,"prod_low_1_firsttime",NA,"Cellular","Ambiguity Low",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10020-bcdcfe7e-96f9-402e-8df8-e84213d93561","bcdcfe7e-96f9-402e-8df8-e84213d93561",10020,2020-02-28,"6","HighToleranceHighTransformational","Weak",1,"True",1,"HighStatus_HighLegitimacy",0,13,7,14,"2020-02-28 15:22:35",1,"False",7069,522802,"prod_low_1_firsttime",NA,"Cellular","Ambiguity Low",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10022-02340504-b3f5-46f4-ba02-71aa63f63d1f","02340504-b3f5-46f4-ba02-71aa63f63d1f",10022,2020-02-28,"6","HighToleranceHighTransformational","Weak",1,"True",1,"HighStatus_HighLegitimacy",0,13,7,15,"2020-02-28 15:54:26",1,"False",7073,522808,"prod_low_1_firsttime",NA,"Network","Ambiguity Low",0,3,2,2,1,2,1,2,1,3,2,1,3,19,1,2,1,1,0,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10022-23ed0f46-08fe-41b8-ab04-5beeddfe7961","23ed0f46-08fe-41b8-ab04-5beeddfe7961",10022,2020-02-28,"6","HighToleranceHighTransformational","Weak",1,"True",1,"HighStatus_HighLegitimacy",0,13,7,15,"2020-02-28 15:54:26",1,"False",7073,522808,"prod_low_1_firsttime",NA,"Network","Ambiguity Low",0,3,2,2,2,2,2,2,2,2,2,2,2,20,0,4,1,0,1,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10022-6b40eab2-a014-4380-ac6b-db63b4ae0f9b","6b40eab2-a014-4380-ac6b-db63b4ae0f9b",10022,2020-02-28,"6","HighToleranceHighTransformational","Weak",1,"True",1,"HighStatus_HighLegitimacy",0,13,7,15,"2020-02-28 15:54:26",1,"False",7073,522808,"prod_low_1_firsttime",NA,"Network","Ambiguity Low",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10022-79444925-75dc-4d51-af15-ea66f09a5d8f","79444925-75dc-4d51-af15-ea66f09a5d8f",10022,2020-02-28,"6","HighToleranceHighTransformational","Weak",1,"True",1,"HighStatus_HighLegitimacy",0,13,7,15,"2020-02-28 15:54:26",1,"False",7073,522808,"prod_low_1_firsttime",NA,"Network","Ambiguity Low",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10022-b4c54ad5-572a-4d5f-b8df-41cf389e8986","b4c54ad5-572a-4d5f-b8df-41cf389e8986",10022,2020-02-28,"6","HighToleranceHighTransformational","Weak",1,"True",1,"HighStatus_HighLegitimacy",0,13,7,15,"2020-02-28 15:54:26",1,"False",7073,522808,"prod_low_1_firsttime",NA,"Network","Ambiguity Low",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10022-c9a55c9d-e91a-40f8-9816-e0d57bf12245","c9a55c9d-e91a-40f8-9816-e0d57bf12245",10022,2020-02-28,"6","HighToleranceHighTransformational","Weak",1,"True",1,"HighStatus_HighLegitimacy",0,13,7,15,"2020-02-28 15:54:26",1,"False",7073,522808,"prod_low_1_firsttime",NA,"Network","Ambiguity Low",0,4,4,2,3,3,3,3,3,3,3,3,3,NA,1,1,1,NA,NA,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10022-ce553267-7d57-459e-8326-f1289cd26613","ce553267-7d57-459e-8326-f1289cd26613",10022,2020-02-28,"6","HighToleranceHighTransformational","Weak",1,"True",1,"HighStatus_HighLegitimacy",0,13,7,15,"2020-02-28 15:54:26",1,"False",7073,522808,"prod_low_1_firsttime",NA,"Network","Ambiguity Low",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10023-365fefd4-c619-4d98-b470-86c196dc9eb7","365fefd4-c619-4d98-b470-86c196dc9eb7",10023,2020-02-28,"6","HighToleranceHighTransformational","Weak",1,"True",1,"HighStatus_HighLegitimacy",0,13,7,15,"2020-02-27 21:27:20",1,"False",7074,522580,"prod_low_1_firsttime",NA,"Network","Ambiguity Low",0,4,4,4,4,4,4,4,4,4,4,4,4,33,0,5,0,0,1,32,NA,3,3,3,3,3,NA,3,3,3
"10023-388f6337-b260-4bef-aeb6-804ce1b06bc6","388f6337-b260-4bef-aeb6-804ce1b06bc6",10023,2020-02-28,"6","HighToleranceHighTransformational","Weak",1,"True",1,"HighStatus_HighLegitimacy",0,13,7,15,"2020-02-27 21:27:20",1,"False",7074,522580,"prod_low_1_firsttime",NA,"Network","Ambiguity Low",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10023-3d53db08-5ca1-421c-9632-baa5ee00c557","3d53db08-5ca1-421c-9632-baa5ee00c557",10023,2020-02-28,"6","HighToleranceHighTransformational","Weak",1,"True",1,"HighStatus_HighLegitimacy",0,13,7,15,"2020-02-27 21:27:20",1,"False",7074,522580,"prod_low_1_firsttime",NA,"Network","Ambiguity Low",0,2,0,4,3,3,2,3,2,3,4,3,2,33,1,4,0,0,1,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10023-4402b4ee-584b-4690-890b-c0de01888ddc","4402b4ee-584b-4690-890b-c0de01888ddc",10023,2020-02-28,"6","HighToleranceHighTransformational","Weak",1,"True",1,"HighStatus_HighLegitimacy",0,13,7,15,"2020-02-27 21:27:20",1,"False",7074,522580,"prod_low_1_firsttime",NA,"Network","Ambiguity Low",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10023-a39a9275-e187-4896-bc88-5c41f530ce2c","a39a9275-e187-4896-bc88-5c41f530ce2c",10023,2020-02-28,"6","HighToleranceHighTransformational","Weak",1,"True",1,"HighStatus_HighLegitimacy",0,13,7,15,"2020-02-27 21:27:20",1,"False",7074,522580,"prod_low_1_firsttime",NA,"Network","Ambiguity Low",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
