Group.1,settingsNum,roundid,matchid,matchDate,competition,timeUncertainty,support,nRound,nConnected,chat_per_round,tools,innovation,inmot1,inmot2,tolerance,framing,GroupVote1,GroupVote2,round,group,player,structure,pressure,toolsCPT,toolsEUT,toolsPT,toolsCPTEXP,risk,prb,structureHie,structureCel,structureNet,centralization,leaderWeight,compStrong,complexity,density,player,grmot1,grmot2,conformity,nPlayers,unanimity,unanimous
1333401,1,1333401,13334,18479,0,1,0,13,7,0,11,NA,NaN,NaN,0,0,NaN,NaN,1,13334,NaN,NaN,1,2,1,2,2,NA,NaN,1,0,0,0.42,0.45,0,0,0.571428571,582.1428571,NA,NA,NA,7,0.857142857,NA
1333402,1,1333402,13334,18479,0,1,0,13,7,0,3,-1,0.142857143,0.142857143,0,2,NaN,NaN,2,13334,NaN,NaN,1,2,1,2,2,0.06,1.39,1,0,0,0.42,0.45,0,0,0.571428571,582.1428571,0.142857143,0.142857143,0.142857143,7,0.857142857,0
1333403,1,1333403,13334,18479,0,1,0,13,7,0,1,-1,0.142857143,0.142857143,0,1,NaN,NaN,3,13334,NaN,NaN,1,1,1,2,1,0.23,1.1,1,0,0,0.42,0.45,0,0,0.571428571,582.1428571,0.142857143,0.142857143,0.142857143,7,0.857142857,0
1333404,1,1333404,13334,18479,0,1,0,13,7,1,2,-1,0.142857143,0,0,0,NaN,NaN,4,13334,NaN,NaN,2,1,1,2,1,0.23,1.1,1,0,0,0.42,0.45,0,0,0.238095238,582.1428571,0.142857143,0,0.142857143,7,0.857142857,0
1333405,1,1333405,13334,18479,0,1,0,13,7,0,12,NA,NaN,NaN,0,1,NaN,NaN,5,13334,NaN,NaN,2,2,1,2,2,NA,NaN,1,0,0,0.42,0.45,0,0,0.238095238,582.1428571,NA,NA,NA,7,0.857142857,NA
1333406,1,1333406,13334,18479,0,1,0,13,7,0,1,-1,0.285714286,0,0,2,NaN,NaN,6,13334,NaN,NaN,2,1,1,2,1,0.23,1.1,1,0,0,0.42,0.45,0,0,0.238095238,582.1428571,0.285714286,0,0.285714286,7,0.857142857,0
1333407,1,1333407,13334,18479,0,1,0,13,7,0,10,NA,NaN,NaN,0,0,NaN,NaN,7,13334,NaN,NaN,1,2,1,2,2,NA,NaN,1,0,0,0.42,0.45,0,0,0.428571429,582.1428571,NA,NA,NA,7,0.857142857,NA
1333408,1,1333408,13334,18479,0,1,0,13,7,0,1,-1,0.285714286,0.142857143,0,2,NaN,NaN,8,13334,NaN,NaN,1,1,1,2,1,0.23,1.1,1,0,0,0.42,0.45,0,0,0.428571429,582.1428571,0.285714286,0.142857143,0.142857143,7,0.857142857,0
1333409,1,1333409,13334,18479,0,1,0,13,7,0,9,NA,NaN,NaN,0,1,NaN,NaN,9,13334,NaN,NaN,1,2,1,2,2,NA,NaN,1,0,0,0.42,0.45,0,0,0.428571429,582.1428571,NA,NA,NA,7,0.857142857,NA
1333410,1,1333410,13334,18479,0,1,0,13,7,0,5,0,0,0.142857143,0,1,NaN,NaN,10,13334,NaN,NaN,2,2,2,2,1,0,1.03,1,0,0,0.42,0.45,0,1,0.380952381,582.1428571,0,0.142857143,0,7,0.857142857,0
1333411,1,1333411,13334,18479,0,1,0,13,7,0,7,-1,0.571428571,0.142857143,0,2,NaN,NaN,11,13334,NaN,NaN,2,2,2,2,2,0.24,7.43,1,0,0,0.42,0.45,0,1,0.380952381,582.1428571,0.571428571,0.142857143,0,7,0.857142857,0
1333412,1,1333412,13334,18479,0,1,0,13,7,0,6,-1,0.142857143,0,0,2,NaN,NaN,12,13334,NaN,NaN,1,2,1,2,2,0.05,1.03,1,0,0,0.42,0.45,0,1,0.238095238,582.1428571,0.142857143,0,0.142857143,7,0.857142857,0
1333413,1,1333413,13334,18479,0,1,0,13,7,1,8,-1,0.428571429,0.428571429,0,1,NaN,NaN,13,13334,NaN,NaN,1,1,1,1,2,0,0,1,0,0,0.42,0.45,0,1,0.238095238,582.1428571,0.428571429,0.428571429,0,7,0.857142857,0
1333501,1,1333501,13335,18480,0,1,0,5,7,0,4,-1,0.142857143,0.285714286,0,0,NaN,NaN,1,13335,NaN,NaN,1,2,1,2,2,-0.17,1.26,1,0,0,0.42,0.45,0,0,0.571428571,956.2857143,0.142857143,0.285714286,0,7,0.857142857,0
1333502,1,1333502,13335,18480,0,1,0,5,7,1,1,-1,0.142857143,0,0,2,NaN,NaN,2,13335,NaN,NaN,1,1,1,2,1,0.23,1.1,1,0,0,0.42,0.45,0,0,0.571428571,956.2857143,0.142857143,0,0.142857143,7,0.857142857,0
1333503,1,1333503,13335,18480,0,1,0,5,7,0,10,NA,NaN,NaN,0,1,NaN,NaN,3,13335,NaN,NaN,1,2,1,2,2,NA,NaN,1,0,0,0.42,0.45,0,0,0.571428571,956.2857143,NA,NA,NA,7,0.857142857,NA
1333504,1,1333504,13335,18480,0,1,0,5,7,1,9,NA,NaN,NaN,0,0,NaN,NaN,4,13335,NaN,NaN,2,2,1,2,2,NA,NaN,1,0,0,0.42,0.45,0,0,0.238095238,956.2857143,NA,NA,NA,7,0.857142857,NA
1333505,1,1333505,13335,18480,0,1,0,5,7,0,12,NA,NaN,NaN,0,1,NaN,NaN,5,13335,NaN,NaN,2,2,1,2,2,NA,NaN,1,0,0,0.42,0.45,0,0,0.238095238,956.2857143,NA,NA,NA,7,0.857142857,NA
1334001,2,1334001,13340,18480,0,1,0,9,7,5,4,0,0.714285714,0.285714286,0,0,NaN,NaN,1,13340,NaN,NaN,1,2,1,2,2,-0.17,1.26,0,1,0,0,0.2,0,0,0.19047619,725.8571429,0.714285714,0.285714286,0,7,0.857142857,0
