matchid_playerid,playerid,matchid,settingsNum,matchDate,competitionLabel,competition,timeUncertaintyLabel,timeUncertainty,supportLabel,support,nRound,nConnected,date.time,competitive.level,replay,organizationalStructure,toleranceLabel,tolerance,Q1_1,Q2_1,Q3_1,Q4_1,Q5_1,Q6_1,Q7_1,Q8_1,Q9_1,Q10_1,Q11_1,Q12_1,Q13_1,Q14_1,Q15_1,Q16_1,Q17_1,Q18_1,ToA_Calculated,Q1_2,Q2_2,Q3_2,Q4_2,Q5_2,Q6_2,Q7_2,Q8_2,Q9_2,Q10_2
13334-26e8840b-8051-4ed0-adc2-0b818d53eaa8,26e8840b-8051-4ed0-adc2-0b818d53eaa8,13334,1,05/08/2020,None,0,TRUE,1,HighStatus_HighLegitimacy,0,13,7,05/08/2020 19:48,1,FALSE,Hierarchical,Ambiguity Low,0,3,3,4,3,3,3,2,4,3,3,3,3,NA,NA,NA,NA,NA,NA,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13334-520aa647-eb6e-4c7f-bb7c-141ef03b34e7,520aa647-eb6e-4c7f-bb7c-141ef03b34e7,13334,1,05/08/2020,None,0,TRUE,1,HighStatus_HighLegitimacy,0,13,7,05/08/2020 19:48,1,FALSE,Hierarchical,Ambiguity Low,0,4,3,3,4,3,3,NA,4,4,4,3,4,34,1,4,1,0,0,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13334-54cf7692-caa4-419d-9ed3-6a765efae61f,54cf7692-caa4-419d-9ed3-6a765efae61f,13334,1,05/08/2020,None,0,TRUE,1,HighStatus_HighLegitimacy,0,13,7,05/08/2020 19:48,1,FALSE,Hierarchical,Ambiguity Low,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13334-565ac31a-ebfe-48f2-9ed0-576aab5a1c50,565ac31a-ebfe-48f2-9ed0-576aab5a1c50,13334,1,05/08/2020,None,0,TRUE,1,HighStatus_HighLegitimacy,0,13,7,05/08/2020 19:48,1,FALSE,Hierarchical,Ambiguity Low,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13334-67486751-4411-403f-9b8c-da936e274a3c,67486751-4411-403f-9b8c-da936e274a3c,13334,1,05/08/2020,None,0,TRUE,1,HighStatus_HighLegitimacy,0,13,7,05/08/2020 19:48,1,FALSE,Hierarchical,Ambiguity Low,0,1,2,1,2,4,3,1,2,3,0,4,1,22,1,4,1,1,1,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13334-6fabac7e-cfe6-4b5d-a275-f84700138bbc,6fabac7e-cfe6-4b5d-a275-f84700138bbc,13334,1,05/08/2020,None,0,TRUE,1,HighStatus_HighLegitimacy,0,13,7,05/08/2020 19:48,1,FALSE,Hierarchical,Ambiguity Low,0,4,3,3,3,3,2,2,3,4,4,3,3,2,1,4,0,0,0,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13334-c9d44c95-548b-493a-b857-fbb64235421a,c9d44c95-548b-493a-b857-fbb64235421a,13334,1,05/08/2020,None,0,TRUE,1,HighStatus_HighLegitimacy,0,13,7,05/08/2020 19:48,1,FALSE,Hierarchical,Ambiguity Low,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13335-389da6d5-aec2-4571-862c-9da5a4b2a5dc,389da6d5-aec2-4571-862c-9da5a4b2a5dc,13335,1,06/08/2020,None,0,TRUE,1,HighStatus_HighLegitimacy,0,5,7,06/08/2020 04:13,1,FALSE,Hierarchical,Ambiguity Low,0,3,2,4,3,3,0,3,4,3,3,3,4,20,0,2,0,0,0,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13335-691fd20b-0712-4b01-87ad-ffca9477d8f6,691fd20b-0712-4b01-87ad-ffca9477d8f6,13335,1,06/08/2020,None,0,TRUE,1,HighStatus_HighLegitimacy,0,5,7,06/08/2020 04:13,1,FALSE,Hierarchical,Ambiguity Low,0,0,0,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13335-9de655a8-3525-4b0a-8b39-dc8adb38f750,9de655a8-3525-4b0a-8b39-dc8adb38f750,13335,1,06/08/2020,None,0,TRUE,1,HighStatus_HighLegitimacy,0,5,7,06/08/2020 04:13,1,FALSE,Hierarchical,Ambiguity Low,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13335-a0a802d7-648b-4314-84bb-62db4aea388c,a0a802d7-648b-4314-84bb-62db4aea388c,13335,1,06/08/2020,None,0,TRUE,1,HighStatus_HighLegitimacy,0,5,7,06/08/2020 04:13,1,FALSE,Hierarchical,Ambiguity Low,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13335-de4d300f-ad49-4e8c-ab60-c10f520d263f,de4d300f-ad49-4e8c-ab60-c10f520d263f,13335,1,06/08/2020,None,0,TRUE,1,HighStatus_HighLegitimacy,0,5,7,06/08/2020 04:13,1,FALSE,Hierarchical,Ambiguity Low,0,2,1,2,2,2,2,2,2,2,2,2,2,27,1,4,1,NA,NA,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13335-ea317c66-59c5-4c5c-9356-c0515e277009,ea317c66-59c5-4c5c-9356-c0515e277009,13335,1,06/08/2020,None,0,TRUE,1,HighStatus_HighLegitimacy,0,5,7,06/08/2020 04:13,1,FALSE,Hierarchical,Ambiguity Low,0,4,3,3,3,2,2,3,4,3,2,3,3,23,3,4,1,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13335-f3cee067-ef35-4f85-a1ce-abdb1eccd155,f3cee067-ef35-4f85-a1ce-abdb1eccd155,13335,1,06/08/2020,None,0,TRUE,1,HighStatus_HighLegitimacy,0,5,7,06/08/2020 04:13,1,FALSE,Hierarchical,Ambiguity Low,0,2,2,3,3,3,1,2,4,4,3,1,1,20,0,2,0,0,0,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13340-00eae6bc-bb60-42e9-a040-fbba471599a9,00eae6bc-bb60-42e9-a040-fbba471599a9,13340,2,06/08/2020,None,0,TRUE,1,HighStatus_HighLegitimacy,0,9,7,05/08/2020 21:18,1,FALSE,Cellular,Ambiguity Low,0,4,4,1,4,4,4,4,4,4,4,4,4,23,0,0,1,1,1,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13340-2c88bf5d-8db3-4dd5-a604-e32465d48b8d,2c88bf5d-8db3-4dd5-a604-e32465d48b8d,13340,2,06/08/2020,None,0,TRUE,1,HighStatus_HighLegitimacy,0,9,7,05/08/2020 21:18,1,FALSE,Cellular,Ambiguity Low,0,3,4,3,4,3,4,4,2,4,3,3,4,22,2,2,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13340-724e51bb-cac5-444b-a88f-9ac8d9f616b1,724e51bb-cac5-444b-a88f-9ac8d9f616b1,13340,2,06/08/2020,None,0,TRUE,1,HighStatus_HighLegitimacy,0,9,7,05/08/2020 21:18,1,FALSE,Cellular,Ambiguity Low,0,3,4,3,4,3,3,4,2,3,2,3,3,22,0,4,1,1,1,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13340-7a475cf0-884e-42b7-8007-2d6520dc387f,7a475cf0-884e-42b7-8007-2d6520dc387f,13340,2,06/08/2020,None,0,TRUE,1,HighStatus_HighLegitimacy,0,9,7,05/08/2020 21:18,1,FALSE,Cellular,Ambiguity Low,0,3,3,4,2,4,3,4,3,4,4,4,4,22,3,5,1,1,1,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13340-8f23ca44-4410-4be4-84f4-a4615756f59d,8f23ca44-4410-4be4-84f4-a4615756f59d,13340,2,06/08/2020,None,0,TRUE,1,HighStatus_HighLegitimacy,0,9,7,05/08/2020 21:18,1,FALSE,Cellular,Ambiguity Low,0,4,4,4,4,4,2,2,3,3,4,3,3,60,0,3,0,1,1,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13340-da70150b-4b25-4ab5-82cd-716d66c62c98,da70150b-4b25-4ab5-82cd-716d66c62c98,13340,2,06/08/2020,None,0,TRUE,1,HighStatus_HighLegitimacy,0,9,7,05/08/2020 21:18,1,FALSE,Cellular,Ambiguity Low,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13340-f50e81a8-ccd0-4223-9a12-97ab50a3a818,f50e81a8-ccd0-4223-9a12-97ab50a3a818,13340,2,06/08/2020,None,0,TRUE,1,HighStatus_HighLegitimacy,0,9,7,05/08/2020 21:18,1,FALSE,Cellular,Ambiguity Low,0,4,3,1,3,3,3,4,3,4,4,3,3,22,1,0,1,1,1,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13341-05681ef6-d054-4a6c-94ac-5483f355a8e6,05681ef6-d054-4a6c-94ac-5483f355a8e6,13341,2,07/08/2020,None,0,TRUE,1,HighStatus_HighLegitimacy,0,13,7,07/08/2020 13:01,1,FALSE,Cellular,Ambiguity Low,0,4,2,3,3,4,0,1,2,4,4,2,4,32,0,5,0,0,1,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13341-0a85ead2-cc47-4655-b218-1b60f6f002ab,0a85ead2-cc47-4655-b218-1b60f6f002ab,13341,2,07/08/2020,None,0,TRUE,1,HighStatus_HighLegitimacy,0,13,7,07/08/2020 13:01,1,FALSE,Cellular,Ambiguity Low,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13341-2cbd253c-e228-4aa6-9164-4355d306d1b2,2cbd253c-e228-4aa6-9164-4355d306d1b2,13341,2,07/08/2020,None,0,TRUE,1,HighStatus_HighLegitimacy,0,13,7,07/08/2020 13:01,1,FALSE,Cellular,Ambiguity Low,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13341-58011b72-63dc-4ceb-8ed3-c880e9598325,58011b72-63dc-4ceb-8ed3-c880e9598325,13341,2,07/08/2020,None,0,TRUE,1,HighStatus_HighLegitimacy,0,13,7,07/08/2020 13:01,1,FALSE,Cellular,Ambiguity Low,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13341-5c8a9fda-3c8c-4a5e-94dd-11d7fda88eee,5c8a9fda-3c8c-4a5e-94dd-11d7fda88eee,13341,2,07/08/2020,None,0,TRUE,1,HighStatus_HighLegitimacy,0,13,7,07/08/2020 13:01,1,FALSE,Cellular,Ambiguity Low,0,1,3,1,2,1,3,1,2,0,3,4,1,25,1,1,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13341-a7778de2-1eb8-4f4c-9f67-517df0bafb17,a7778de2-1eb8-4f4c-9f67-517df0bafb17,13341,2,07/08/2020,None,0,TRUE,1,HighStatus_HighLegitimacy,0,13,7,07/08/2020 13:01,1,FALSE,Cellular,Ambiguity Low,0,3,3,3,3,3,3,3,3,3,3,3,3,22,0,4,0,1,1,34,NA,3,3,3,3,3,4,3,3,3
13341-ea515826-8e8c-4eb6-92b2-a41305b1599a,ea515826-8e8c-4eb6-92b2-a41305b1599a,13341,2,07/08/2020,None,0,TRUE,1,HighStatus_HighLegitimacy,0,13,7,07/08/2020 13:01,1,FALSE,Cellular,Ambiguity Low,0,1,2,3,1,2,3,0,2,3,4,1,2,25,2,2,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13342-691fd20b-0712-4b01-87ad-ffca9477d8f6,691fd20b-0712-4b01-87ad-ffca9477d8f6,13342,3,05/08/2020,None,0,TRUE,1,HighStatus_HighLegitimacy,0,13,7,05/08/2020 12:23,1,FALSE,Network,Ambiguity Low,0,0,0,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13342-6cd73ae8-5826-440c-b2c2-97465299d426,6cd73ae8-5826-440c-b2c2-97465299d426,13342,3,05/08/2020,None,0,TRUE,1,HighStatus_HighLegitimacy,0,13,7,05/08/2020 12:23,1,FALSE,Network,Ambiguity Low,0,2,2,2,4,4,4,4,4,4,4,4,4,NA,1,3,0,0,0,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13342-7a69ac0c-ddad-4d02-bfb9-273890c42d41,7a69ac0c-ddad-4d02-bfb9-273890c42d41,13342,3,05/08/2020,None,0,TRUE,1,HighStatus_HighLegitimacy,0,13,7,05/08/2020 12:23,1,FALSE,Network,Ambiguity Low,0,4,2,4,4,2,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13342-8334ff6a-9cd6-4fbc-a3a6-8b9caa56a3fd,8334ff6a-9cd6-4fbc-a3a6-8b9caa56a3fd,13342,3,05/08/2020,None,0,TRUE,1,HighStatus_HighLegitimacy,0,13,7,05/08/2020 12:23,1,FALSE,Network,Ambiguity Low,0,4,4,4,NA,NA,NA,NA,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13342-8a32933d-04e7-4fc3-b447-355065ed41a2,8a32933d-04e7-4fc3-b447-355065ed41a2,13342,3,05/08/2020,None,0,TRUE,1,HighStatus_HighLegitimacy,0,13,7,05/08/2020 12:23,1,FALSE,Network,Ambiguity Low,0,4,4,4,4,4,4,4,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13342-8f23ca44-4410-4be4-84f4-a4615756f59d,8f23ca44-4410-4be4-84f4-a4615756f59d,13342,3,05/08/2020,None,0,TRUE,1,HighStatus_HighLegitimacy,0,13,7,05/08/2020 12:23,1,FALSE,Network,Ambiguity Low,0,4,4,4,4,4,2,2,3,3,4,3,3,60,0,3,0,1,1,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13342-da70150b-4b25-4ab5-82cd-716d66c62c98,da70150b-4b25-4ab5-82cd-716d66c62c98,13342,3,05/08/2020,None,0,TRUE,1,HighStatus_HighLegitimacy,0,13,7,05/08/2020 12:23,1,FALSE,Network,Ambiguity Low,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13344-4429254e-cfb3-4c7c-a523-ff90894122a5,4429254e-cfb3-4c7c-a523-ff90894122a5,13344,3,06/08/2020,None,0,TRUE,1,HighStatus_HighLegitimacy,0,13,7,06/08/2020 07:09,1,FALSE,Network,Ambiguity Low,0,1,3,2,3,3,1,3,3,4,3,3,4,20,0,2,0,1,0,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13344-94649f84-da38-48f4-933a-42507c784d83,94649f84-da38-48f4-933a-42507c784d83,13344,3,06/08/2020,None,0,TRUE,1,HighStatus_HighLegitimacy,0,13,7,06/08/2020 07:09,1,FALSE,Network,Ambiguity Low,0,4,3,3,4,4,4,3,4,3,4,3,3,34,0,4,1,1,1,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13344-b554203f-09fd-4801-be34-08f3bf92ca56,b554203f-09fd-4801-be34-08f3bf92ca56,13344,3,06/08/2020,None,0,TRUE,1,HighStatus_HighLegitimacy,0,13,7,06/08/2020 07:09,1,FALSE,Network,Ambiguity Low,0,3,3,4,NA,4,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13344-bf4a149d-f11b-417c-99b1-9185c8829b94,bf4a149d-f11b-417c-99b1-9185c8829b94,13344,3,06/08/2020,None,0,TRUE,1,HighStatus_HighLegitimacy,0,13,7,06/08/2020 07:09,1,FALSE,Network,Ambiguity Low,0,3,4,4,3,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13344-e83f67dc-1241-4bbb-899e-e683305443ad,e83f67dc-1241-4bbb-899e-e683305443ad,13344,3,06/08/2020,None,0,TRUE,1,HighStatus_HighLegitimacy,0,13,7,06/08/2020 07:09,1,FALSE,Network,Ambiguity Low,0,4,3,3,4,3,3,3,4,3,4,3,4,NA,0,1,1,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13344-ed04573d-19e6-4565-aa1b-9c4218f8a1db,ed04573d-19e6-4565-aa1b-9c4218f8a1db,13344,3,06/08/2020,None,0,TRUE,1,HighStatus_HighLegitimacy,0,13,7,06/08/2020 07:09,1,FALSE,Network,Ambiguity Low,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13344-fa71ba0b-5d6d-4cc0-bf1e-b82421e05cc7,fa71ba0b-5d6d-4cc0-bf1e-b82421e05cc7,13344,3,06/08/2020,None,0,TRUE,1,HighStatus_HighLegitimacy,0,13,7,06/08/2020 07:09,1,FALSE,Network,Ambiguity Low,0,4,0,4,2,3,2,2,4,4,3,2,2,23,0,4,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13346-1489b306-eae0-48f1-91a9-53c3b07b34cd,1489b306-eae0-48f1-91a9-53c3b07b34cd,13346,4,07/08/2020,None,0,TRUE,1,LowStatus_HighLegitimacy,1,13,7,07/08/2020 02:48,1,FALSE,Hierarchical,Ambiguity Low,0,2,2,3,3,3,1,3,3,1,2,3,3,21,1,2,0,1,1,23,NA,2,2,2,2,2,2,2,2,1
13346-392df005-38dd-4ddb-ac3d-6a2ab2efe48a,392df005-38dd-4ddb-ac3d-6a2ab2efe48a,13346,4,07/08/2020,None,0,TRUE,1,LowStatus_HighLegitimacy,1,13,7,07/08/2020 02:48,1,FALSE,Hierarchical,Ambiguity Low,0,4,3,2,2,2,2,2,2,2,2,2,2,22,0,4,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13346-4a5c842b-68ec-464f-8fc4-7505b2dc8063,4a5c842b-68ec-464f-8fc4-7505b2dc8063,13346,4,07/08/2020,None,0,TRUE,1,LowStatus_HighLegitimacy,1,13,7,07/08/2020 02:48,1,FALSE,Hierarchical,Ambiguity Low,0,1,3,4,3,2,4,4,3,4,1,1,4,23,0,4,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13346-63300762-0e7a-40b0-bed2-f292eebe4bd6,63300762-0e7a-40b0-bed2-f292eebe4bd6,13346,4,07/08/2020,None,0,TRUE,1,LowStatus_HighLegitimacy,1,13,7,07/08/2020 02:48,1,FALSE,Hierarchical,Ambiguity Low,0,2,2,2,2,2,2,2,2,2,2,2,2,20,1,3,0,1,1,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13346-ca8819fc-22fa-43bd-8832-0f3350b351a3,ca8819fc-22fa-43bd-8832-0f3350b351a3,13346,4,07/08/2020,None,0,TRUE,1,LowStatus_HighLegitimacy,1,13,7,07/08/2020 02:48,1,FALSE,Hierarchical,Ambiguity Low,0,3,2,3,3,3,2,2,3,2,2,3,3,21,1,2,0,1,1,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13346-d0ce45c4-052b-464a-a32a-1a8db98774a2,d0ce45c4-052b-464a-a32a-1a8db98774a2,13346,4,07/08/2020,None,0,TRUE,1,LowStatus_HighLegitimacy,1,13,7,07/08/2020 02:48,1,FALSE,Hierarchical,Ambiguity Low,0,4,3,4,4,4,4,4,4,4,4,4,3,23,0,3,1,NA,NA,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13346-e83f67dc-1241-4bbb-899e-e683305443ad,e83f67dc-1241-4bbb-899e-e683305443ad,13346,4,07/08/2020,None,0,TRUE,1,LowStatus_HighLegitimacy,1,13,7,07/08/2020 02:48,1,FALSE,Hierarchical,Ambiguity Low,0,4,3,3,4,3,3,3,4,3,4,3,4,NA,0,1,1,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13349-02214897-468a-47ef-a2fb-2cef40b3df70,02214897-468a-47ef-a2fb-2cef40b3df70,13349,4,06/08/2020,None,0,TRUE,1,LowStatus_HighLegitimacy,1,13,7,06/08/2020 00:46,1,FALSE,Hierarchical,Ambiguity Low,0,4,3,2,3,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13349-11f58275-9ad5-405c-9af7-03aa5d913216,11f58275-9ad5-405c-9af7-03aa5d913216,13349,4,06/08/2020,None,0,TRUE,1,LowStatus_HighLegitimacy,1,13,7,06/08/2020 00:46,1,FALSE,Hierarchical,Ambiguity Low,0,4,4,3,NA,NA,NA,NA,3,3,NA,NA,3,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13349-33c6e41a-602a-43fd-bfc9-e477359b5196,33c6e41a-602a-43fd-bfc9-e477359b5196,13349,4,06/08/2020,None,0,TRUE,1,LowStatus_HighLegitimacy,1,13,7,06/08/2020 00:46,1,FALSE,Hierarchical,Ambiguity Low,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13349-39a3c93b-0e59-49bd-bcab-abe562dfe3d1,39a3c93b-0e59-49bd-bcab-abe562dfe3d1,13349,4,06/08/2020,None,0,TRUE,1,LowStatus_HighLegitimacy,1,13,7,06/08/2020 00:46,1,FALSE,Hierarchical,Ambiguity Low,0,3,3,4,NA,NA,3,NA,NA,NA,NA,4,3,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13349-76f4a65c-a986-44bf-96e8-ffdbdf884ce7,76f4a65c-a986-44bf-96e8-ffdbdf884ce7,13349,4,06/08/2020,None,0,TRUE,1,LowStatus_HighLegitimacy,1,13,7,06/08/2020 00:46,1,FALSE,Hierarchical,Ambiguity Low,0,4,4,3,3,3,2,2,3,3,2,2,3,NA,0,1,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13349-a1ed3cb2-4e99-4831-b431-10d2b357f689,a1ed3cb2-4e99-4831-b431-10d2b357f689,13349,4,06/08/2020,None,0,TRUE,1,LowStatus_HighLegitimacy,1,13,7,06/08/2020 00:46,1,FALSE,Hierarchical,Ambiguity Low,0,2,1,3,4,2,3,2,3,4,2,3,1,25,0,4,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13349-e83f67dc-1241-4bbb-899e-e683305443ad,e83f67dc-1241-4bbb-899e-e683305443ad,13349,4,06/08/2020,None,0,TRUE,1,LowStatus_HighLegitimacy,1,13,7,06/08/2020 00:46,1,FALSE,Hierarchical,Ambiguity Low,0,4,3,3,4,3,3,3,4,3,4,3,4,NA,0,1,1,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13350-24b5cd38-4c2a-4c42-9b55-664b34da9326,24b5cd38-4c2a-4c42-9b55-664b34da9326,13350,5,07/08/2020,None,0,TRUE,1,LowStatus_HighLegitimacy,1,1,7,07/08/2020 07:49,1,FALSE,Cellular,Ambiguity Low,0,3,3,3,3,3,4,4,3,3,4,3,3,20,0,2,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13350-562995a6-c5f7-42c6-a4b8-8fdd425199d0,562995a6-c5f7-42c6-a4b8-8fdd425199d0,13350,5,07/08/2020,None,0,TRUE,1,LowStatus_HighLegitimacy,1,1,7,07/08/2020 07:49,1,FALSE,Cellular,Ambiguity Low,0,3,3,4,3,4,3,3,3,3,4,3,3,22,0,3,1,1,0,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13350-7f716bc1-094d-459e-a280-ff477f47d2a7,7f716bc1-094d-459e-a280-ff477f47d2a7,13350,5,07/08/2020,None,0,TRUE,1,LowStatus_HighLegitimacy,1,1,7,07/08/2020 07:49,1,FALSE,Cellular,Ambiguity Low,0,2,2,2,2,2,2,2,2,2,2,2,2,27,1,1,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13350-9c58fa93-187c-4c7f-ae56-82d8776ba9d5,9c58fa93-187c-4c7f-ae56-82d8776ba9d5,13350,5,07/08/2020,None,0,TRUE,1,LowStatus_HighLegitimacy,1,1,7,07/08/2020 07:49,1,FALSE,Cellular,Ambiguity Low,0,2,2,2,2,2,2,2,2,2,2,2,2,27,0,1,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13350-b29f530a-b980-4fc4-b9bc-92fb503000ab,b29f530a-b980-4fc4-b9bc-92fb503000ab,13350,5,07/08/2020,None,0,TRUE,1,LowStatus_HighLegitimacy,1,1,7,07/08/2020 07:49,1,FALSE,Cellular,Ambiguity Low,0,2,1,3,2,1,3,1,1,3,2,3,4,20,1,4,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13350-c932d717-15d6-4809-92bd-4d5474b6cd18,c932d717-15d6-4809-92bd-4d5474b6cd18,13350,5,07/08/2020,None,0,TRUE,1,LowStatus_HighLegitimacy,1,1,7,07/08/2020 07:49,1,FALSE,Cellular,Ambiguity Low,0,4,3,3,4,4,2,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13350-e01021c1-f931-4d1a-a362-a20cd904804b,e01021c1-f931-4d1a-a362-a20cd904804b,13350,5,07/08/2020,None,0,TRUE,1,LowStatus_HighLegitimacy,1,1,7,07/08/2020 07:49,1,FALSE,Cellular,Ambiguity Low,0,4,3,3,3,3,4,4,3,3,3,3,3,21,1,2,1,1,1,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13351-238bd46e-4467-451a-959d-897cde654c5f,238bd46e-4467-451a-959d-897cde654c5f,13351,5,06/08/2020,None,0,TRUE,1,LowStatus_HighLegitimacy,1,13,7,06/08/2020 16:26,1,FALSE,Cellular,Ambiguity Low,0,1,2,0,3,2,1,3,2,1,4,1,2,22,1,3,1,1,1,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13351-35ce25a8-2570-4c6b-aeab-4531e38e8625,35ce25a8-2570-4c6b-aeab-4531e38e8625,13351,5,06/08/2020,None,0,TRUE,1,LowStatus_HighLegitimacy,1,13,7,06/08/2020 16:26,1,FALSE,Cellular,Ambiguity Low,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
