"session","round","playerid","alterid","previouslytie","nowtie","playeraction","alteraction","other_d","action_num","break_tie","make_tie","state","CC","DD","player_empanel_id","alter_empanel_id"
"experiment-1.1-fluid-01_41.csv",2,"NxR25KvE","FlwTRkr7",1,1,"C","C",0,0,0,0,"CC",1,0,"4210171130_78419_01","077404_S02_01"
"experiment-1.1-fluid-01_41.csv",2,"NxR25KvE","gqkTSJ1Q",1,1,"C","C",0,0,0,0,"CC",1,0,"4210171130_78419_01","4141881257_78419_01"
"experiment-1.1-fluid-01_41.csv",2,"OccYhLaw","fgcHkh83",0,1,"C","C",0,1,0,1,"CC",1,0,"4209524779_78419_01","1869095040_78419_01"
"e1.5_2017-09-06",2,"OmtdCXCq","2Ls5Rpdm",1,1,"C","C",0,0,0,0,"CC",1,0,"4224774627_78419_01","4198746100_78419_01"
"e1.5_2017-09-06",2,"OmtdCXCq","6eq39r0t",1,1,"C","C",0,0,0,0,"CC",1,0,"4224774627_78419_01","1590401214_78419_01"
"e1.5_2017-09-06",2,"OmtdCXCq","L3XqYDJz",0,1,"C","C",0,1,0,1,"CC",1,0,"4224774627_78419_01","008751_S01_HH"
"experiment-1.1-fluid-01_41.csv",2,"OReMOWzo","gqkTSJ1Q",1,1,"C","C",0,0,0,0,"CC",1,0,"4142224906_78419_01","4141881257_78419_01"
"experiment-1.1-fluid-01_41.csv",2,"OReMOWzo","ju7eWJ5D",0,1,"C","C",0,1,0,1,"CC",1,0,"4142224906_78419_01","4198696732_78419_01"
"e1.8_2017-09-17",2,"OSo4hIty","E1MjVql9",1,1,"C","C",0,0,0,0,"CC",1,0,"4206014237_78419_01","4210170720_78419_01"
"experiment-1.1-fluid-01_41.csv",2,"Q9i4RgWN","FlwTRkr7",0,1,"C","C",0,1,0,1,"CC",1,0,"4014781643_78914_01","077404_S02_01"
"experiment-1.1-fluid-01_41.csv",2,"Q9i4RgWN","iutftQuX",0,1,"C","C",0,1,0,1,"CC",1,0,"4014781643_78914_01","4209515398_78419_01"
"experiment-1.1-fluid-01_41.csv",2,"Q9i4RgWN","jXMcJe7k",0,1,"C","C",0,1,0,1,"CC",1,0,"4014781643_78914_01","4198735100_78419_01"
"experiment-1.1-fluid-01_41.csv",2,"Q9i4RgWN","OccYhLaw",0,1,"C","C",0,1,0,1,"CC",1,0,"4014781643_78914_01","4209524779_78419_01"
"experiment-1.1-fluid-01_41.csv",2,"Q9i4RgWN","QDp3ovL3",0,1,"C","C",0,1,0,1,"CC",1,0,"4014781643_78914_01","4182979840_78419_01"
"experiment-1.1-fluid-01_41.csv",2,"QDp3ovL3","77ZxWPnT",0,1,"C","C",0,1,0,1,"CC",1,0,"4182979840_78419_01","1740626002_78419_01"
"experiment-1.1-fluid-01_41.csv",2,"QDp3ovL3","FlwTRkr7",0,1,"C","C",0,1,0,1,"CC",1,0,"4182979840_78419_01","077404_S02_01"
"experiment-1.1-fluid-01_41.csv",2,"QDp3ovL3","OccYhLaw",0,1,"C","C",0,1,0,1,"CC",1,0,"4182979840_78419_01","4209524779_78419_01"
"experiment-1.1-fluid-01_41.csv",2,"QDp3ovL3","tsXNkqxj",1,0,"C","C",0,1,1,0,"CC",1,0,"4182979840_78419_01","4083281328_78914_01"
"e1.1_2017-09-03",2,"qqUGu3kS","jTcyevlw",0,1,"C","C",0,1,0,1,"CC",1,0,"4191252363_5107_01","4083364193_78914_01"
"e1.5_2017-09-06",2,"QqZJQqSV","6eq39r0t",0,1,"C","C",0,1,0,1,"CC",1,0,"1104441209_23694_01","1590401214_78419_01"
"e1.5_2017-09-06",2,"QqZJQqSV","HDIRa6VS",1,1,"C","C",0,0,0,0,"CC",1,0,"1104441209_23694_01","4135951463_78419_01"
"e1.5_2017-09-06",2,"QqZJQqSV","LYgovvuG",1,1,"C","C",0,0,0,0,"CC",1,0,"1104441209_23694_01","028085_S01_HH"
"e1.5_2017-09-06",2,"QqZJQqSV","VJyZMbUX",0,1,"C","C",0,1,0,1,"CC",1,0,"1104441209_23694_01","4210177559_78419_01"
"e1.5_2017-09-06",2,"QqZJQqSV","ZZXk3eCC",0,1,"C","C",0,1,0,1,"CC",1,0,"1104441209_23694_01","4183007714_78419_01"
"experiment-1.1-fluid-03_43.csv",2,"QShMToNs","A9JZ1kn5",0,1,"C","C",0,1,0,1,"CC",1,0,"4141908830_78419_01","4142230299_78419_01"
