"playerid","group","round_num","group_connect","connect","condition","session","ingroup","biased","identities","empanel_id"
"WCJJbu4i",0,4,1,1,"Biased-4","e2.4_2017-08-21",0,1,1,"143967_3992_01"
"wKBuViKl",1,4,1,1,"Biased-4","e2.2_2017-08-24",1,1,1,"4128108027_78419_01"
"x0Q2cCRq",1,4,1,1,"Biased-4","e2.2_2017-08-24",1,1,1,"4224776226_78419_01"
"x0Q2cCRq",1,4,0,1,"Biased-4","e2.2_2017-08-24",0,1,1,"4224776226_78419_01"
"x7QzBBkz",0,4,1,1,"Unbiased-2","e2.6_2017-09-21",0,0,0,"4009917197_78914_01"
"x7QzBBkz",0,4,0,1,"Unbiased-2","e2.6_2017-09-21",1,0,0,"4009917197_78914_01"
"XCnmdDUg",1,4,2,1,"Biased-4","e2.2_2017-08-24",0,1,1,"4222256011_78419_01"
"XCnmdDUg",1,4,1,1,"Biased-4","e2.2_2017-08-24",1,1,1,"4222256011_78419_01"
"Xu1iETkg",1,4,0,1,"Unbiased-2","e2.6_2017-09-16",0,0,0,"4198746872_78419_01"
"XUr96Ljm",1,4,3,0,"Biased-4","e2.2_2017-08-24",0,1,1,"750812_S02_01"
"XUr96Ljm",1,4,2,0,"Biased-4","e2.2_2017-08-24",0,1,1,"750812_S02_01"
"XUr96Ljm",1,4,1,1,"Biased-4","e2.2_2017-08-24",1,1,1,"750812_S02_01"
"XzHeyDPf",1,4,0,1,"Biased-2","e2.3_2017-08-31",0,1,0,"1741182395_78419_01"
"xZhr6io9",1,4,0,1,"Unbiased-2","experiment-2.6-unbiased-2-08_10666.csv",0,0,0,"4222263952_78419_01"
"xZhr6io9",1,4,1,0,"Unbiased-2","experiment-2.6-unbiased-2-08_10666.csv",1,0,0,"4222263952_78419_01"
"yQO6mTUz",1,4,1,1,"Unbiased-2","experiment-2.6-unbiased-2-08_10666.csv",1,0,0,"1821993440_78419_01"
"yQO6mTUz",1,4,0,0,"Unbiased-2","experiment-2.6-unbiased-2-08_10666.csv",0,0,0,"1821993440_78419_01"
"yqYQTF8v",0,4,1,0,"Unbiased-2","experiment-2.6-unbiased-2-08_10666.csv",0,0,0,"4209520966_78419_01"
"yqYQTF8v",0,4,0,1,"Unbiased-2","experiment-2.6-unbiased-2-08_10666.csv",1,0,0,"4209520966_78419_01"
"ZkrzAdZN",1,4,1,1,"Unbiased-2","experiment-2.6-unbiased-2-08_10666.csv",1,0,0,"4128112238_78419_01"
"ZkrzAdZN",1,4,0,1,"Unbiased-2","experiment-2.6-unbiased-2-08_10666.csv",0,0,0,"4128112238_78419_01"
"Zp7IFzWn",2,4,1,1,"Biased-4","e2.2_2017-08-24",0,1,1,"4209527873_78419_01"
"Zp7IFzWn",2,4,2,1,"Biased-4","e2.2_2017-08-24",1,1,1,"4209527873_78419_01"
"Zp7IFzWn",2,4,3,1,"Biased-4","e2.2_2017-08-24",0,1,1,"4209527873_78419_01"
"ZRjM35ab",0,4,1,1,"Unbiased-2","experiment-2.6-unbiased-2-02_10657.csv",0,0,0,"1869085850_78419_01"
"ZweiHCzi",3,4,3,1,"Biased-4","e2.4_2017-08-21",1,1,1,"4182914741_78419_01"
"0fr0kaXH",2,5,0,1,"Biased-4","e2.2_2017-08-24",0,1,1,"4210169883_78419_01"
"0fr0kaXH",2,5,3,1,"Biased-4","e2.2_2017-08-24",0,1,1,"4210169883_78419_01"
"0fr0kaXH",2,5,2,1,"Biased-4","e2.2_2017-08-24",1,1,1,"4210169883_78419_01"
"0fr0kaXH",2,5,1,1,"Biased-4","e2.2_2017-08-24",0,1,1,"4210169883_78419_01"
"1v5KsKaU",0,5,0,1,"Unbiased-2","experiment-2.6-unbiased-2-07_10665.csv",1,0,0,"4210174390_78419_01"
"2Jq2iaa0",1,5,1,1,"Unbiased-2","experiment-2.6-unbiased-2-02_10657.csv",1,0,0,"4182985182_78419_01"
"2n8fFNoM",2,5,0,0,"Biased-4","e2.1_2017-09-03",0,1,1,"4205995801_78419_01"
"2n8fFNoM",2,5,2,1,"Biased-4","e2.1_2017-09-03",1,1,1,"4205995801_78419_01"
"2UIMidzg",2,5,0,0,"Biased-4","e2.1_2017-09-03",0,1,1,"4198750331_78419_01"
"2UIMidzg",2,5,1,0,"Biased-4","e2.1_2017-09-03",0,1,1,"4198750331_78419_01"
"2UIMidzg",2,5,2,0,"Biased-4","e2.1_2017-09-03",1,1,1,"4198750331_78419_01"
"2UIMidzg",2,5,3,0,"Biased-4","e2.1_2017-09-03",0,1,1,"4198750331_78419_01"
"2XmZPU4o",2,5,2,1,"Biased-4","e2.2_2017-08-24",1,1,1,"158212_3992_01"
"2XmZPU4o",2,5,0,1,"Biased-4","e2.2_2017-08-24",0,1,1,"158212_3992_01"
"3IvpNBCR",1,5,1,1,"Unbiased-2","experiment-2.6-unbiased-2-02_10657.csv",1,0,0,"2077831115_78419_01"
